RequestId,actualWaitTime,estimatedWaitTime,deviate
drt_0,424.0,309.5295687929647,114.47043120703529
drt_29,481.0,457.2685734607112,23.731426539288805
drt_1,467.0,386.4988398440619,80.50116015593812
drt_11,322.0,309.28047650390727,12.719523496092734
drt_10,397.0,373.21601302984345,23.783986970156548
drt_24,450.0,430.5832486538784,19.4167513461216
drt_12,335.0,317.06899834561045,17.931001654389547
drt_23,398.0,377.93849450421476,20.06150549578524
drt_34,436.0,410.76471534353914,25.235284656460863
drt_26,474.0,457.2685734607112,16.731426539288805
drt_28,436.0,410.76471534353914,25.235284656460863
drt_38,436.0,412.91067778089564,23.08932221910436
drt_27,436.0,412.91067778089564,23.08932221910436